Var1,Var2,Var3,Var4,Var5,Var6,Var7
2019,12,13.8058186597685,0.766611116727807,15.57254571,12.09967429,2160
2020,1,12.9128827518277,0.550089507638711,14.64834714,11.1433662,2845
2020,2,13.0875403746255,0.887274315144111,15.95394722,10.92961714,2683
2020,3,14.1530795106937,0.693461914089153,16.54385205,11.7182863,2883
2020,4,13.2668897434289,1.18423977764728,16.78323562,9.586139726,2714
2020,5,13.8446168406497,1.61156686919165,17.86049041,10.61219726,2786
2020,6,14.4355125894174,1.47970327155293,18.22661644,11.46148356,2626
2020,7,15.1740515723624,1.41546391784398,19.06115753,12.26873425,2781
2020,8,14.878480214369,1.46266136674042,19.38667671,12.42675479,2694
2020,9,15.0280996284537,1.15628657252717,18.77377534,12.60536027,2742
2020,10,15.3601165559074,1.16167695797492,18.5408726,13.73975068,1080
